Epoch    |                 Staked |                Rewards |            Accumulated |        Unstake Rewards |          Unstake Total |      Available Rewards
143      |         140,361,763.30 |              46,328.92 |           5,267,686.15 |                   0.00 |                   0.00 |           5,267,686.15
144      |         140,361,763.30 |              46,336.44 |           5,314,022.59 |                   0.00 |                   0.00 |           5,314,022.59
145      |         140,361,763.30 |              46,337.68 |           5,360,360.28 |                   0.00 |                   0.00 |           5,360,360.28
146      |         140,361,763.30 |              46,565.74 |           5,406,926.02 |                   0.00 |                   0.00 |           5,406,926.02
147      |         140,361,763.30 |              46,521.11 |           5,453,447.13 |                   0.00 |                   0.00 |           5,453,447.13
148      |         140,361,763.30 |              46,571.27 |           5,500,018.39 |                   0.00 |                   0.00 |           5,500,018.39
149      |         140,361,763.30 |              46,939.79 |           5,546,958.19 |                   0.00 |                   0.00 |           5,546,958.19
150      |         140,361,763.30 |              47,001.62 |           5,593,959.80 |                   0.00 |                   0.00 |           5,593,959.80
151      |         140,361,763.30 |              47,780.38 |           5,641,740.19 |                   0.00 |                   0.00 |           5,641,740.19
152      |         140,361,763.30 |              46,989.84 |           5,688,730.03 |                   0.00 |                   0.00 |           5,688,730.03
153      |         140,361,763.30 |              47,016.30 |           5,735,746.32 |                   0.00 |                   0.00 |           5,735,746.32
154      |         140,361,763.30 |              48,700.15 |           5,784,446.47 |                   0.00 |                   0.00 |           5,784,446.47
155      |         140,361,763.30 |              47,436.64 |           5,831,883.12 |                   0.00 |                   0.00 |           5,831,883.12
156      |         140,361,763.30 |              46,954.26 |           5,878,837.38 |                   0.00 |                   0.00 |           5,878,837.38
157      |         140,361,763.30 |              46,985.31 |           5,925,822.69 |                   0.00 |                   0.00 |           5,925,822.69
158      |         140,361,763.30 |              45,582.08 |           5,971,404.76 |                   0.00 |                   0.00 |           5,971,404.76
159      |         140,361,763.30 |              45,385.47 |           6,016,790.23 |                   0.00 |                   0.00 |           6,016,790.23
160      |         140,361,763.30 |              45,403.91 |           6,062,194.14 |                   0.00 |                   0.00 |           6,062,194.14
161      |         140,361,763.30 |              46,201.98 |           6,108,396.12 |                   0.00 |                   0.00 |           6,108,396.12
162      |         140,361,763.30 |              45,326.58 |           6,153,722.70 |                   0.00 |                   0.00 |           6,153,722.70
163      |         140,361,763.30 |              45,230.56 |           6,198,953.26 |                   0.00 |                   0.00 |           6,198,953.26
164      |         140,361,763.30 |              46,494.40 |           6,245,447.66 |                   0.00 |                   0.00 |           6,245,447.66
165      |         140,361,763.30 |              44,528.56 |           6,289,976.21 |                   0.00 |                   0.00 |           6,289,976.21
166      |         140,361,763.30 |              44,286.97 |           6,334,263.18 |                   0.00 |                   0.00 |           6,334,263.18
167      |         140,361,763.30 |              44,360.99 |           6,378,624.17 |                   0.00 |                   0.00 |           6,378,624.17
168      |         140,361,763.30 |              44,268.06 |           6,422,892.23 |                   0.00 |                   0.00 |           6,422,892.23
169      |         140,361,763.30 |              44,299.28 |           6,467,191.51 |                   0.00 |                   0.00 |           6,467,191.51
170      |         140,361,763.30 |              44,284.31 |           6,511,475.83 |                   0.00 |                   0.00 |           6,511,475.83
171      |         140,361,763.30 |              44,407.11 |           6,555,882.94 |                   0.00 |                   0.00 |           6,555,882.94
172      |         140,361,763.30 |              44,367.08 |           6,600,250.02 |                   0.00 |                   0.00 |           6,600,250.02
173      |         140,361,763.30 |              44,450.15 |           6,644,700.17 |                   0.00 |                   0.00 |           6,644,700.17
174      |         140,361,763.30 |              44,413.81 |           6,689,113.98 |                   0.00 |                   0.00 |           6,689,113.98
175      |         140,361,763.30 |              44,355.62 |           6,733,469.59 |                   0.00 |                   0.00 |           6,733,469.59
176      |         140,361,763.30 |              44,324.05 |           6,777,793.64 |                   0.00 |                   0.00 |           6,777,793.64
177      |         140,361,763.30 |              49,236.54 |           6,827,030.18 |                   0.00 |                   0.00 |           6,827,030.18
178      |         140,361,763.30 |              49,194.32 |           6,876,224.50 |                   0.00 |                   0.00 |           6,876,224.50
179      |         140,361,764.80 |              45,764.91 |           6,921,989.41 |                   0.00 |                   0.00 |           6,921,989.41
180      |         190,361,763.30 |              65,905.15 |           6,987,894.56 |                   0.00 |                   0.00 |           6,987,894.56
181      |         190,361,763.30 |              59,256.41 |           7,047,150.96 |                   0.00 |                   0.00 |           7,047,150.96
182      |         190,361,763.30 |              59,154.87 |           7,106,305.83 |                   0.00 |                   0.00 |           7,106,305.83
183      |         190,361,763.30 |              60,440.61 |           7,166,746.44 |                   0.00 |                   0.00 |           7,166,746.44
184      |         190,361,763.30 |              60,438.68 |           7,227,185.12 |                   0.00 |                   0.00 |           7,227,185.12
185      |         190,361,763.30 |              60,978.31 |           7,288,163.43 |                   0.00 |                   0.00 |           7,288,163.43
186      |         190,361,763.30 |              60,620.08 |           7,348,783.51 |                   0.00 |                   0.00 |           7,348,783.51
187      |         190,361,763.30 |              60,078.52 |           7,408,862.04 |                   0.00 |                   0.00 |           7,408,862.04
188      |         190,361,763.30 |              59,385.27 |           7,468,247.31 |                   0.00 |                   0.00 |           7,468,247.31
189      |         190,361,763.30 |              60,065.03 |           7,528,312.34 |                   0.00 |                   0.00 |           7,528,312.34
190      |         190,361,763.30 |              60,640.38 |           7,588,952.71 |                   0.00 |                   0.00 |           7,588,952.71
191      |         190,361,763.30 |              60,328.19 |           7,649,280.90 |                   0.00 |                   0.00 |           7,649,280.90
192      |         190,361,763.30 |              59,780.87 |           7,709,061.77 |                   0.00 |                   0.00 |           7,709,061.77
193      |         190,361,763.30 |              59,435.02 |           7,768,496.79 |                   0.00 |                   0.00 |           7,768,496.79
194      |         190,361,763.30 |              59,372.31 |           7,827,869.10 |                   0.00 |                   0.00 |           7,827,869.10
195      |         190,361,763.30 |              59,339.66 |           7,887,208.76 |                   0.00 |                   0.00 |           7,887,208.76
196      |         190,361,763.30 |              59,281.13 |           7,946,489.90 |                   0.00 |                   0.00 |           7,946,489.90
197      |         190,361,763.30 |              59,258.75 |           8,005,748.65 |                   0.00 |                   0.00 |           8,005,748.65
198      |         190,361,763.30 |              59,685.43 |           8,065,434.08 |                   0.00 |                   0.00 |           8,065,434.08
199      |         190,361,763.30 |              64,175.34 |           8,129,609.42 |                   0.00 |                   0.00 |           8,129,609.42
  ▶ [Partial Unstake] ObjId: 0x2b51887b8cc8abf61dc58b171ecedf705aa8033d743ab16ac0bb4ac9b8347243 | TX: CB2JjDneqfXTKGtWue2a1Rmh92VtvVqadh7zmvJEk2Tr | Validator: IOTA 3 | Amount: 3,000,000.00 | Rewards: 57,594.23
200      |         184,361,763.30 |              59,838.01 |           8,189,447.43 |              57,594.23 |              57,594.23 |           8,131,853.19
201      |         187,361,763.30 |              59,237.99 |           8,248,685.41 |                   0.00 |              57,594.23 |           8,191,091.18
202      |         187,361,763.30 |              59,213.34 |           8,307,898.75 |                   0.00 |              57,594.23 |           8,250,304.52
203      |         187,361,763.30 |              59,195.71 |           8,367,094.46 |                   0.00 |              57,594.23 |           8,309,500.23
204      |         187,361,763.30 |              59,652.22 |           8,426,746.68 |                   0.00 |              57,594.23 |           8,369,152.45
205      |         187,361,763.30 |              59,329.66 |           8,486,076.34 |                   0.00 |              57,594.23 |           8,428,482.10
206      |         187,361,763.30 |              57,867.68 |           8,543,944.02 |                   0.00 |              57,594.23 |           8,486,349.78
  ▶ [Partial Unstake] ObjId: 0x2b51887b8cc8abf61dc58b171ecedf705aa8033d743ab16ac0bb4ac9b8347243 | TX: 6NaA3jvV3z9yENywkFP5jKQybD3FJesNZXYNyrr7bERg | Validator: IOTA 3 | Amount: 3,000,000.00 | Rewards: 63,977.22
207      |         181,361,763.30 |              57,960.56 |           8,601,904.58 |              63,977.22 |             121,571.45 |           8,480,333.13
208      |         184,361,763.30 |              57,280.03 |           8,659,184.60 |                   0.00 |             121,571.45 |           8,537,613.15
209      |         184,361,763.30 |              57,092.30 |           8,716,276.90 |                   0.00 |             121,571.45 |           8,594,705.45
210      |         184,361,763.30 |              57,495.81 |           8,773,772.71 |                   0.00 |             121,571.45 |           8,652,201.26
  ▶ [Unstaked] ObjId: 0x29f60c0255f30af4a85fe5eba01eba766a957cfe986a748ac101c1f6753ca5f6 | TX: ADtoFhTzDZgjdXm45M9VxEmzapB1P4goYSM1QTcLCR88 | Validator: Realize | Amount: 2,816,564.86 | Rewards: 200,565.18
  ▶ [Unstaked] ObjId: 0x605b3b0829d7ac49d5181ba444a8e53aeb2af2dc623e3209a28fad0b750f799c | TX: ADtoFhTzDZgjdXm45M9VxEmzapB1P4goYSM1QTcLCR88 | Validator: Realize | Amount: 2,816,564.86 | Rewards: 200,565.18
  ▶ [Unstaked] ObjId: 0x6a4df47701711f479c2f9bd7113de7589dac9c55b2cb51a748d83316fb71e552 | TX: ADtoFhTzDZgjdXm45M9VxEmzapB1P4goYSM1QTcLCR88 | Validator: Realize | Amount: 2,816,564.86 | Rewards: 204,766.44
211      |         175,912,068.73 |              54,600.30 |           8,828,373.00 |             605,896.79 |             727,468.24 |           8,100,904.76
212      |         175,912,068.73 |              54,413.41 |           8,882,786.41 |                   0.00 |             727,468.24 |           8,155,318.17
213      |         182,811,457.88 |              54,356.12 |           8,937,142.53 |                   0.00 |             727,468.24 |           8,209,674.29
